AFCODI,CVCVEN,CVCPRO,CVDPRO,CVPVEN,CVPPUB,CVSCO1,CVSCO2,CVDVAL,AFFPRZ,AFAIVA,AFDVA1,AFPEU1,CVCPAG
049300015,DG,0234607,ARIPIPRAZOLO DOC*OS150ML1MG/ML,0,0,"38,35",0,205012310,,10,20220213,00024500,
046679015,DG,0227776,METILPREDNISOLONE DOC*30CPR4MG,"5,11",0,0,0,205012310,,10,20230718,00004130,
048315016,DG,0234612,"DIENOGEST ETIN DOC*21CPR2+0,03","4,91",0,0,0,205012310,,10,20250101,00015500,
048315030,DG,0234613,"DIENOGEST ETIN DOC*28CPR2+0,03","4,91",0,0,0,205012310,,10,20250101,00016400,
048964023,DG,0248036,AMISULPRIDE DOC*12CPR 50MG,"4,9",0,0,0,205012310,,10,20250101,00012300,
049313012,DG,0248869,BILASTINA DOC*20CPR 20MG,"4,92",0,0,0,205012310,,10,20220704,00008900,
035386061,DG,9990031,MESALAZINA DOC*60CPR GASTR800,0,0,"38,35",0,205012310,,10,20221111,00019800,
044915027,DG,0255587,OMEGA 3 DOC*30CPS MOLLI 1G 85%,0,0,"38,35",0,205012310,,10,20220817,00012960,
045827019,DG,0246400,ROSUVASTATINA EZ DO*28CPR 5+10,0,0,"38,35",0,205012310,,10,20220420,00008840,
045827058,DG,0246402,ROSUVASTATINA EZ DO*28CPR20+10,0,0,"38,35",0,205012310,,10,20220420,00010610,
035622036,DG,0133453,TERAZOSINA DOC*30CPR DIV 2MG,0,0,"38,35",0,205012310,,10,20180310,00007900,
042754059,DG,0120496,COLECALCIFEROLO DOC*FL 50000UI,0,0,"38,35",0,205012310,,10,20180113,00006900,
040274060,DG,0153202,ACIDO FOLICO DOC*28CPR 400MCG,0,0,"38,35",0,205012310,,10,20190415,00003130,
040274072,DG,0153203,ACIDO FOLICO DOC*120CPR 400MCG,0,0,"38,35",0,205012310,,10,20190413,00010050,
045412020,DG,0154761,FEBUXOSTAT DOC*28CPR RIV 80MG,0,0,"38,35",0,205012310,,10,20190424,00016970,
045412044,DG,0154762,FEBUXOSTAT DOC*28CPR RIV 120MG,0,0,"38,35",0,205012310,,10,20190424,00016970,
039117015,DG,9978555,"LATANOPROST DOC*COLL 2,5ML    FR",0,0,"38,35",0,205012310,,10,20120510,00006980,
033726011,DG,9904481,ALPRAZOLAM DOC 20 CPR 0.25MG,0,0,60,0,205012310,,10,20250101,00004500,
033726023,DG,9904482,ALPRAZOLAM DOC 20 CPR 0.50MG,0,0,60,0,205012310,,10,20250101,00005800,
035786019,DG,9914692,"BROMAZEPAM DOC*20CPR 1,5MG",0,0,60,0,205012310,,10,20250101,00005900,
035786021,DG,9915159,BROMAZEPAM DOC*20CPR 3MG,0,0,60,0,205012310,,10,20250101,00006800,
033726035,DG,9960588,ALPRAZOLAM DOC G.*OS GTT 20ML,0,0,60,0,205012310,,10,20250101,00009800,
041505013,DG,9986033,"LATAFIX*COLL 1FL 2,5ML      FR",0,0,"38,35",0,205012310,,10,20121012,00009500,
044185015,DG,0098926,VERIZINA*20CPR 20MG+40MG,0,0,60,0,205012310,,10,20250129,00015000,
044571026,DG,0129638,"NEXOMIC*15FL 1D 0,3%",0,0,60,0,205012310,,10,20230101,00015000,
045264013,DG,0156171,"DESADOC*COLL 20D 0,3ML","10,35",0,0,0,205012310,,10,20250101,00017000,
035786033,DG,9914693,"BROMAZEPAM DOC*GTT 2,5MG/ML 20",0,0,60,0,205012310,,10,20250101,00007200,
036535019,DG,9920519,"GENTAMICINA DOC*CREMA 30G 0,1%",0,0,60,0,205012310,,10,20250101,00012200,
036421016,DG,9920822,LORMETAZEPAM DOC*OS GTT 20ML,0,0,60,0,205012310,,10,20250101,00009900,
036002018,DG,9923791,LORAZEPAM DOC*20CPR 1MG,0,0,60,0,205012310,,10,20250101,00006400,
036002020,DG,9923792,"LORAZEPAM DOC*20CPR 2,5MG",0,0,60,0,205012310,,10,20250101,00007400,
036426017,DG,9954852,DELORAZEPAM DOC*OS GTT FL 20ML,0,0,60,0,205012310,,10,20250101,00009600,
037891013,DG,9977498,GENTAM.BETAM.DOC*CREMA 30G,0,0,60,0,205012310,,10,20250101,00012200,
044571014,DG,0129639,"NEXOMIC*COLL 5ML 0,3%",0,0,60,0,205012310,,10,20230101,00012000,
036216087,DG,9943782,"TRIAZOLAM DOC G*20CPR 0,25MG",0,0,60,0,205012310,,10,20250101,00009800,
038927101,DG,9965073,ZOLPIDEM DOC G.*30CPR RIV 10MG,0,0,60,0,205012310,,10,20250101,00017500,
036216063,DG,9979236,"TRIAZOLAM DOC G*20CPR 0,125MG",0,0,60,0,205012310,,10,20250101,00008300,
970525693,DG,0094952,TEGRADOC 30CPR RIVESTITE,0,0,"37,95",0,205012310,,10,20170130,00019500,
042984017,DG,0106433,LANSOPRAZOLO DOC*14CPS 15MG,0,0,"38,35",0,205012310,,10,20161110,00003860,
035386046,DG,0257852,MESALAZINA DOC*7CLISMI 2G/50ML,0,0,"38,35",0,205012310,,10,20230112,00021960,
035386034,DG,9930560,MESALAZINA DOC*7CLISMI4G/100ML,0,0,"38,35",0,205012310,,10,20230112,00033440,
046501021,DG,0247159,"RAMIPRIL AM ID DOC*5+5+12,5MG",0,0,"38,35",0,205012310,,10,20220116,00005830,
044693051,DG,0160339,"LOSARTAN DOC*21CPR RIV 12,5MG",0,0,"38,35",0,205012310,,10,20190614,00004700,
044693188,DG,0160340,LOSARTAN DOC*28CPR RIV 50MG,0,0,"38,35",0,205012310,,10,20250613,00007500,
044693303,DG,0160341,LOSARTAN DOC*28CPR RIV 100MG,0,0,"38,35",0,205012310,,10,20250613,00009500,
044345015,DG,0193138,"BIMADOC*1FL COLL 3ML 0,1MG/ML",0,0,"38,35",0,205012310,,10,20180206,00009790,
048087011,DG,0191361,BRINTIDOX*COLL 1FL5ML 10MG+5MG,0,0,"38,35",0,205012310,,10,20200902,00008860,
044475022,DG,0161204,"LOSARTAN ID DOC*28CPR50+12,5MG",0,0,"38,35",0,205012310,,10,20250613,00005500,
044612012,DG,0160161,TADALAFIL DOC*14CPR RIV 5MG,"16,71",0,0,0,205012310,,10,20250101,00035000,
044612024,DG,0160162,TADALAFIL DOC*28CPR RIV 5MG,"22,87",0,0,0,205012310,,10,20250101,00058000,
044475073,DG,0161205,LOSARTAN ID DOC*28CPR 100+25MG,0,0,"38,35",0,205012310,,10,20250613,00005500,
044881023,DG,0162239,"IPOKIMA*COLL 20FL 0,30ML","12,79",0,0,0,205012310,,10,20250101,00021000,
044881011,DG,0162240,"IPOKIMA*COLL FL 5ML 0,1%+0,3%","10,35",0,0,0,205012310,,10,20250101,00017000,
045965023,DG,0160163,PIOGLITAZONE MET DOC*56CPR RIV,0,0,"38,35",0,205012310,,10,20190712,00024620,
046720025,DG,0161033,LOVASTATINA DOC*30CPR 20MG,0,0,"38,35",0,205012310,,10,20190623,00008540,
046720037,DG,0161034,LOVASTATINA DOC*30CPR 40MG,0,0,"38,35",0,205012310,,10,20190623,00008540,
044612075,DG,0161307,TADALAFIL DOC*12CPR RIV 20MG,0,0,"38,35",0,205012310,,10,20220928,00064080,
044047013,DG,0181737,PROMAZINA DOC*GTT30ML 4G/100ML,"6,5",0,0,0,205012310,,10,20250101,00012500,
050213038,DG,0286886,BECLOMETASONE FOR DOC*200+6MCGFR,0,0,"38,35",0,205012310,,10,20250614,00025000,
047887029,DG,0260603,SITAGLIPTIN MET DOC*50+1000MG,0,0,"38,35",0,205012310,,10,20230414,00026150,
035386073,DG,0265732,MESALAZINA DOC*60CPR GAST400MG,0,0,"38,35",0,205012310,,10,20230611,00011570,
047830031,DG,0253658,SITAGLIPTIN DOC*28CPR 100MG,0,0,"38,35",0,205012310,,10,20230414,00021880,
050057037,DG,0260160,BUDESONIDE DOC*50CPS 3MG RM FL,0,0,"38,35",0,205012310,,10,20240915,00034500,
036395046,DG,0260408,NIFEDIPINA DOC*28CPR 60MG RP,0,0,"38,35",0,205012310,,10,20201029,00013460,
043280066,DG,0269941,SIMVASTATINA DOC*28CPR RIV10MG,0,0,"38,35",0,205012310,,10,20231026,00002680,
037397039,DG,0165096,DOXAZOSIN DOC*30CPR 4MG,0,0,"38,35",0,205012310,,10,20190911,00008260,
046271019,DG,0169437,SILODOSINA DOC*30CPS 4MG,0,0,"38,35",0,205012310,,10,20200204,00003660,
046271021,DG,0169438,SILODOSINA DOC*30CPS 8MG,0,0,"38,35",0,205012310,,10,20200130,00007320,
046074011,DG,0174356,IDROSSICLOROCHINA DOC*30CPR200,0,0,"38,35",0,205012310,,10,20200212,00004620,
045967015,DG,0168095,"LASTAFRY*COLL 1FL 2,5ML 0,005%",0,0,"38,35",0,205012310,,10,20191212,00006980,
037007236,DG,0165095,"TAMSULOSIN DOC*30CPS 0,4MG RM",0,0,"38,35",0,205012310,,10,20190619,00005870,
047432012,DG,0206862,DOCLEVO*COLL 1FL 5ML 5MG/ML,"12,18",0,0,0,205012310,,10,20250102,00022000,
038555013,DG,0151732,"CORTIVIS*COLL 30FL MONOD 0,3ML","11,57",0,0,0,205012310,,10,20250101,00019000,
976103945,DG,0154997,ARNISTIL SOL OFTALMICA,"12,49",0,0,0,205012310,,10,20240201,00020500,
978869030,DG,0174355,RENOVA TRE COLLIRIO 10ML,"12,08",0,0,0,205012310,,22,20240201,00022000,
978691145,DG,0175560,BLEFADINE SALVIETTE MONOUSO14P,"9,23",0,0,0,205012310,,22,20240201,00016800,
933778514,DG,0031325,"DEFLUXA GTT OCUL 15MONOD 0,4ML","13,73",0,0,0,205012310,,22,20230101,00025000,
901727659,DG,0051782,VISMED GTT 0.3ML MONODOSI X 20,"13,51",0,0,0,205012310,,22,20240201,00024600,
936024936,DG,0107301,IODIM GOCCE OCULARI 10ML STER FR,"11,26",0,0,0,205012310,,22,20230101,00020500,
971805318,DG,0113275,VITREO360 30BUST,"15,53",0,0,0,205012310,,10,20240201,00025500,
971805306,DG,0113898,MACULA360 20CPR RIVESTITE,"15,47",0,0,0,205012310,,10,20240201,00025400,
973662036,DG,0119814,CITILPEA 30BUST,"19,49",0,0,0,205012310,,10,20230101,00032000,
943880474,DG,0168110,LUCE VF 30BUST,"16,14",0,0,0,205012310,,10,20240201,00026500,
904066281,DG,9923658,VISMED LIGHT GTT OCUL 15ML,"15,65",0,0,0,205012310,,22,20240201,00028500,
904072891,DG,9923696,"VISMED GEL GTT OCUL 20MONX0,45","14,28",0,0,0,205012310,,22,20230101,00026000,
904938457,DG,9930067,VISMED MULTI LACRIMA ARTIFIC10,"15,1",0,0,0,205012310,,22,20240201,00027500,
934857879,DG,0082143,FORVISTA 30BUST,"18,58",0,0,0,205012310,,10,20240201,00030500,
902905658,DG,9916503,NEURIL COMPLEX 30CPR MG,"19,25",0,0,0,205012310,,10,20240201,00031600,
922973146,DG,9986202,VISIMAST 600MG 20CPR,"17,05",0,0,0,205012310,,10,20210101,00028000,
932750363,DG,9994936,RESOLVIS 60CPS,"21,01",0,0,0,205012310,,10,20240201,00034500,
925368639,DG,0015191,VISIMAST 600MG MICROGRANULI BUST,"19,49",0,0,0,205012310,,10,20191104,00032000,
935794091,DG,0095268,SEPTAVIS 50ML+50 GARZE TNT STE,14,0,0,0,205012310,,22,20240201,00025500,
947335410,DG,0238526,VITREOLENE 30BUST,"15,53",0,0,0,205012310,,10,20240201,00025500,
937424986,DG,9952074,LIDCURE HA 16SALV DET/EMOL/LEN,"13,45",0,0,0,205012310,,22,20240201,00024500,
935645554,DG,9958811,"EQUILIBRIUM 20BUST 2,45G","15,35",0,0,0,205012310,,10,20240201,00025200,
028675268,JJ,0043882,FLUSPIRAL DISKUS*60D 100 MCG  **,0,0,"33,35",0,205012310,,10,20061001,00015600,
028675270,JJ,0043883,FLUSPIRAL DISKUS*60D 250 MCG  **,0,0,"33,35",0,205012310,,10,20061001,00029790,
026803104,JJ,0044107,OMEPRAZEN 20*14CPS 20MG BLIS,0,0,"33,35",0,205012310,,10,20151017,00005630,
032209013,JJ,0051279,NEBILOX*28 CPR 5 MG,0,0,"33,35",0,205012310,,10,20190915,00007710,
032210015,JJ,0051336,LOBIVON*28 CPR 5 MG,0,0,"33,35",0,205012310,,10,20101204,00007710,
027831041,JJ,0051337,LACIREX*14 CPR RIV. 6 MG,0,0,"33,35",0,205012310,,10,20141213,00008490,
032117018,JJ,0052278,SOLOSA*30 CPR 2 MG,0,0,"33,35",0,205012310,,10,20100630,00002330,
027529116,JJ,0052348,VECLAM*14 CPR RIV. 500 MG,0,0,"33,35",0,205012310,,10,20110429,00012250,
027530118,JJ,0052349,MACLADIN*14 CPR RIV. 500 MG,0,0,"33,35",0,205012310,,10,20140116,00010350,
033006038,JJ,0052441,TOTALIP 20*10 CPR 20 MG,0,0,"33,35",0,205012310,,10,20120515,00005280,
027309032,JJ,0052663,PRAVASELECT 40*14 CPR 40 MG,0,0,"33,35",0,205012310,,10,20151015,00008000,
027786033,JJ,0052667,APLACTIN 40*14 CPR 40 MG,0,0,"33,35",0,205012310,,10,20151015,00006000,
027776032,JJ,0052835,PRASTEROL 40*14 CPR 40 MG,0,0,"33,35",0,205012310,,10,20151015,00008000,
034134027,JJ,0052836,"COMBISARTAN*28 CPR 80MG/12,5MG",0,0,"33,35",0,205012310,,10,20151015,00006950,
042876060,JJ,0056365,SPEDRA*8CPR 100MG,0,0,46,0,205012310,,10,20250102,00046400,
042876096,JJ,0056376,SPEDRA*8CPR 200MG,0,0,46,0,205012310,,10,20250102,00073700,
027530120,JJ,0056688,MACLADIN 250*BB GRAN. 250 MG,0,0,"33,35",0,205012310,,10,20110429,00015880,
027529104,JJ,0056691,VECLAM 250*BB GRAN.250MG/5ML,0,0,"33,35",0,205012310,,10,20110429,00015880,
027529080,JJ,0057958,VECLAM 250*OS 14 BUST. 250 MG **,0,0,"33,35",0,205012310,,10,20061001,00017550,
027530094,JJ,0058005,MACLADIN 250*OS 14 BUS.250MG  **,0,0,"33,35",0,205012310,,10,20061001,00017550,
033119025,JJ,0058652,VALPRESSION 160*28 CPS 160MG,0,0,"33,35",0,205012310,,10,20121122,00008700,
034154017,JJ,0058655,OPTRUMA*14 CPR 60 MG,0,0,"33,35",0,205012310,,10,20140130,00010350,
026688034,JJ,0060129,SUSTEMIAL*30 CPR EFF. 75 MG   **,0,0,"33,35",0,205012310,,10,20061001,00005140,
026696031,JJ,0060168,GLUCOFERRO*30 CPR EFF. 650MG  **,0,0,"33,35",0,205012310,,10,20061001,00005140,
026803080,JJ,0060193,OMEPRAZEN 10*14 CPS 10MG,0,0,"33,35",0,205012310,,10,20090610,00003540,
027002070,JJ,0064260,ORAXIM OS GRAT 50ML 250MG/5ML **,0,0,"33,35",0,205012310,,10,20061001,00013780,
034463051,JJ,0074912,ALIFLUS DISKUS 50/250 INAL 60D,0,0,"33,35",0,205012310,,10,20211021,00031730,
034463063,JJ,0074913,ALIFLUS DISKUS 50/500*INAL 60D**,0,0,"33,35",0,205012310,,10,20210601,00039730,
043446057,JJ,0081077,REVINTY ELL*INAL 184/22MCG 30D,0,0,"33,35",0,205012310,,10,20230210,00047030,
043446020,JJ,0081078,REVINTY ELL*INAL 92/22MCG 30D,0,0,"33,35",0,205012310,,10,20230210,00047030,
041044025,JJ,0085157,BYSABEL*20CPR 20MG,0,0,35,0,205012310,,10,20250217,00011200,
043145022,JJ,0087860,INVOKANA*30CPR RIV 100MG      **,0,0,"33,35",0,205012310,,10,20150507,00066340,
043145061,JJ,0087861,INVOKANA*30CPR RIV 300MG,0,0,"33,35",0,205012310,,10,20150507,00098520,
043444025,JJ,0087993,LAVENTAIR*POLV INAL55/22MCG 30,0,0,"33,35",0,205012310,,10,20260101,00053210,
043375056,JJ,0088053,VOKANAMET*60CPR RIV 50+1000MG,0,0,"33,35",0,205012310,,10,20150507,00066340,
043773011,JJ,0098692,BRIMICA GENUAIR*INAL 60 DOSI,0,0,"33,35",0,205012310,,10,20260101,00057310,
042876072,JJ,0099854,SPEDRA*12CPR 100MG,0,0,"33,35",0,205012310,,10,20161001,00054160,
042876108,JJ,0099855,SPEDRA*12CPR 200MG,0,0,"33,35",0,205012310,,10,20161001,00081240,
938201528,JJ,0099889,NOVALAC AD 600G,0,0,23,0,205012310,,10,20250101,00040960,
040273031,JJ,0101264,ITALEPT*OS 300ML 100MG/ML+1SIR,0,0,"38,5",0,205012310,,10,20120720,00037970,
044089187,JJ,0109905,LENIZAK*20CPR RIV 75+25MG,0,0,32,0,205012310,,10,20250102,00013300,
042402014,JJ,0109967,AVERELIX*28CPR RIV 75MG,0,0,"35,2",0,205012310,,10,20190618,00012350,
043715010,JJ,0114928,PRELYNCA*14CPS 25MG,0,0,"38,5",0,205012310,,10,20170524,00001970,
043715073,JJ,0114929,PRELYNCA*56CPS 75MG,0,0,"38,5",0,205012310,,10,20170223,00019560,
043715123,JJ,0114930,PRELYNCA*56CPS 150MG,0,0,"38,5",0,205012310,,10,20170223,00029190,
043507045,JJ,0114934,"GIBITER*1INAL 120D 160+4,5MCG",0,0,"33,35",0,205012310,,10,20241101,00046840,
043507072,JJ,0114935,GIBITER*1INAL 60D 320+9MCG,0,0,"33,35",0,205012310,,10,20241101,00046840,
973211131,JJ,0117105,KALEIDON PROBIOTIC BI NAT 10B,0,0,37,0,205012310,,10,20250101,00016820,
973211117,JJ,0117106,KALEIDON PROBIOTIC FRUT BOS10B,0,0,37,0,205012310,,10,20250101,00016820,
044710010,JJ,0117506,ROLDAP*28CPR 1MG,0,0,"38,5",0,205012310,,10,20170831,00057990,
973605633,JJ,0119222,DERMORELIZEMA OLIO DET IDR,0,0,39,0,205012310,,22,20171102,00019000,
973608755,JJ,0119223,DERMORELIZEMA BABY CARE 100ML,0,0,39,0,205012310,,22,20171102,00014000,
973608577,JJ,0119224,DERMORELIZEMA CREAM 75ML,0,0,39,0,205012310,,22,20171102,00026000,
973608589,JJ,0119852,DERMORELIZEMA DET LIPORESTITUT,0,0,39,0,205012310,,22,20171102,00017000,
045321027,JJ,0128187,ROLUFTA*1INAL 30DOSI 55MCG,0,0,"33,35",0,205012310,,10,20220101,00045440,
035367299,JJ,0134492,LUCEN*28CPR GASTR 20MG,0,0,"33,35",0,205012310,,10,20181004,00008420,
035367440,JJ,0134493,LUCEN*28CPR GASTR 40MG,0,0,"33,35",0,205012310,,10,20181004,00010920,
045789029,JJ,0138614,ELEBRATO ELL*30D 92+55+22MCG,0,0,"33,35",0,205012310,,10,20260101,00077470,
040854073,JJ,0145625,AYRINAL*20CPR ORODISP 10MG,0,0,"33,35",0,205012310,,10,20250217,00011200,
040854109,JJ,0145626,"AYRINAL*OS SOLUZ 120ML2,5MG/ML",0,0,"36,5",0,205012310,,10,20250217,00011200,
041045105,JJ,0145627,"ROBILAS*OS SOLUZ 120ML2,5MG/ML",0,0,34,0,205012310,,10,20250217,00011200,
041045079,JJ,0145628,ROBILAS*20CPR ORODISP 10MG,0,0,34,0,205012310,,10,20250217,00011200,
044089314,JJ,0149944,LENIZAK*GRAT 15BUST 75+25MG,0,0,32,0,205012310,,10,20250102,00013300,
045362011,JJ,0155742,ELUTATIS*4CPR RIV 5MG,0,0,31,0,205012310,,10,20230101,00017500,
045362023,JJ,0155743,ELUTATIS*2CPR RIV 10MG,0,0,31,0,205012310,,10,20230101,00017500,
045362035,JJ,0155744,ELUTATIS*4CPR RIV 10MG,0,0,31,0,205012310,,10,20230101,00034000,
045362062,JJ,0155745,ELUTATIS*4CPR RIV 20MG,0,0,31,0,205012310,,10,20230101,00064500,
976335695,JJ,0156525,KALEIDON PROBIOTIC ACTIVE AGE,0,0,37,0,205012310,,10,20240101,00019800,
044631226,JJ,0162012,EXORTA*28CPR RIV 5MG,0,0,"38,5",0,205012310,,10,20181106,00005350,
044631277,JJ,0162013,EXORTA*28CPR RIV 10MG,0,0,"38,5",0,205012310,,10,20181106,00006500,
044631327,JJ,0162014,EXORTA*28CPR RIV 20MG,0,0,"38,5",0,205012310,,10,20181106,00009830,
026803092,JJ,0162112,OMEPRAZEN*28CPS 10MG,0,0,"33,35",0,205012310,,10,20220216,00004640,
026803205,JJ,0162113,OMEPRAZEN*28CPS 20MG,0,0,"33,35",0,205012310,,10,20190209,00008450,
044631378,JJ,0162198,EXORTA*28CPR RIV 40MG,0,0,"38,5",0,205012310,,10,20181106,00010230,
978861641,JJ,0162908,U-LIFE 50 CREMA 30ML,0,0,39,0,205012310,,22,20190930,00015900,
978869360,JJ,0162915,LEVELIPDUO 20CPR,0,0,35,0,205012310,,10,20191001,00015000,
043507134,JJ,0162923,"GIBITER*1INAL 120D 80+4,5MCG",0,0,"33,35",0,205012310,,10,20241101,00035750,
978861615,JJ,0165344,U-LIFE 30 CREMA 50ML,0,0,39,0,205012310,,22,20191125,00017900,
978861627,JJ,0165624,U-LIFE 40 CREMA 50ML,0,0,39,0,205012310,,22,20191206,00019900,
978861565,JJ,0169412,U-LIFE 5 CREMA 50ML,0,0,39,0,205012310,,22,20191206,00020900,
980121545,JJ,0175419,U-LIFE 30 ECOFOAM 50ML,0,0,39,0,205012310,,22,20200217,00018900,
980121533,JJ,0175420,U-LIFE 10 ECOFOAM 100ML,0,0,39,0,205012310,,22,20200217,00020000,
978861591,JJ,0176758,U-LIFE 20 CREMA 100ML,0,0,39,0,205012310,,22,20200315,00022000,
978861577,JJ,0181782,U-LIFE 10 CREMA 400ML,0,0,39,0,205012310,,22,20200401,00026000,
981069572,JJ,0193231,NOVALAC ALLERNOVA PRO 400G,0,0,23,0,205012310,,10,20240105,00033590,
981491400,JJ,0205196,NOVALAC REFLUX PRO 800G,0,0,23,0,205012310,,10,20250101,00047800,
045432010,JJ,0206944,EZATEROS*28CPR 5MG+10MG,0,0,"33,35",0,205012310,,10,20200410,00008840,
045432022,JJ,0206945,EZATEROS*28CPR 10MG+10MG,0,0,"33,35",0,205012310,,10,20200410,00010610,
045432034,JJ,0206946,EZATEROS*28CPR 20MG+10MG,0,0,"33,35",0,205012310,,10,20200410,00010610,
982410641,JJ,0209558,PAPIX HIGH GEL 30ML,0,0,39,0,205012310,,22,20210415,00023900,
982410666,JJ,0209559,PAPIX LONG GEL 50ML,0,0,39,0,205012310,,22,20210415,00022900,
047513015,JJ,0219468,RINOFF*SPRAY NAS 60D 50MCG,0,0,35,0,205012310,,10,20250201,00015500,
047513027,JJ,0219469,RINOFF*SPRAY NAS 140D 50MCG,0,0,35,0,205012310,,10,20250201,00023000,
982410627,JJ,0219751,DERMORELIZEMA SPRAY&GO 100ML,0,0,39,0,205012310,,22,20210506,00016000,
982011847,JJ,0220428,NOVALAC 1 NEW FORMULA 800G,0,0,35,0,205012310,,10,20260101,00024090,
983034315,JJ,0230337,REFLUZERO 20CPR,0,0,35,0,205012310,,22,20210823,00018900,
982011835,JJ,0232846,NOVALAC ANTI RIGURGITO 800G,0,0,23,0,205012310,,10,20250101,00040900,
982011823,JJ,0233117,NOVALAC ANTISTIPSI 800G,0,0,23,0,205012310,,10,20250101,00039040,
982011850,JJ,0233764,NOVALAC 2 NEW FORMULA 800G,0,0,28,0,205012310,,10,20260101,00021630,
983275316,JJ,0234563,PAPIX CLEANSER 200ML NF,0,0,39,0,205012310,,22,20211101,00015900,
983531599,JJ,0235112,DERMORELIZEMA ULTRA IDRATANTE,0,0,39,0,205012310,,22,20211111,00027000,
983197649,JJ,0236804,NOVALAC 3 800G,0,0,28,0,205012310,,10,20260101,00018420,
048499038,JJ,0244592,RYALTRIS*SPRAY NAS FL 29G 240D,0,0,33,0,205012310,,10,20250201,00039000,
047252010,JJ,0245435,BALAVITA*OS GTT 10000UI/ML10ML,0,0,"33,35",0,205012310,,10,20220321,00004500,
047252022,JJ,0245436,"BALAVITA*1FL 25000UI 2,5ML",0,0,"33,35",0,205012310,,10,20220321,00004500,
047252034,JJ,0245437,"BALAVITA*2FL 25000UI 2,5ML",0,0,"33,35",0,205012310,,10,20210929,00007000,
047252059,JJ,0245438,"BALAVITA*1FL 50000UI 2,5ML",0,0,"33,35",0,205012310,,10,20210929,00006900,
047252061,JJ,0245439,"BALAVITA*2FL 50000UI 2,5ML",0,0,"33,35",0,205012310,,10,20210929,00012000,
984447413,JJ,0245520,NOVALAC AC 800G,0,0,23,0,205012310,,10,20250101,00039200,
984791956,JJ,0247987,LEVELIPDUO PLUS 28STICK,0,0,35,0,205012310,,10,20250101,00025000,
985975679,JJ,0256128,DERMORELIZEMA ECOFOAM 70ML,0,0,39,0,205012310,,22,20230101,00028000,
986087726,JJ,0258249,NOVALAC AMINOVA AF 400G,0,0,23,0,205012310,,10,20240105,00047150,
027786060,JJ,0265476,APLACTIN*28CPR 20MG,0,0,"33,35",0,205012310,,10,20230615,00003190,
027786072,JJ,0265477,APLACTIN*28CPR 40MG,0,0,"33,35",0,205012310,,10,20200903,00009720,
045519028,JJ,0274298,OLLAT*56CPR RIV 50MG,0,0,"38,5",0,205012310,,10,20221124,00025050,
045519055,JJ,0274299,OLLAT*56CPR RIV 100MG,0,0,"38,5",0,205012310,,10,20221124,00050100,
045519081,JJ,0274300,OLLAT*56CPR RIV 150MG,0,0,"38,5",0,205012310,,10,20221124,00075170,
045519117,JJ,0274301,OLLAT*56CPR RIV 200MG,0,0,"38,5",0,205012310,,10,20221124,00100230,
